acousticness,speechiness,valence,tempo,duration_ms,release_date,year,month
0.00265,0.0411,0.75,109.663,232840,1985-07-01,1985,7
0.108,0.0328,0.645,108.821,181507,1985-01-01,1985,1
0.193,0.0514,0.618,93.751,264440,1985-01-01,1985,1
0.0803,0.0376,0.7240000000000001,131.017,282693,1985-06-29,1985,6
0.995,0.049,0.286,129.709,216600,1985-01-01,1985,1
0.503,0.0561,0.508,137.363,477133,1986-11-10,1986,11
0.00426,0.1669999999999999,0.397,143.748,378293,1986-04-27,1986,4
0.613,0.0573,0.647,131.369,461934,1986-02-15,1986,2
0.000306,0.0837,0.39,161.643,218360,1986-09-12,1986,9
0.8440000000000001,0.0305,0.469,96.754,256667,1986-01-01,1986,1
0.102,0.035,0.905,110.422,184640,1986-01-01,1986,1
0.00267,0.0388,0.716,138.0,218573,1986-01-01,1986,1
0.0986,0.0665,0.352,88.417,290067,1986-03-04,1986,3
